video_id,title_negative,title_neutral,title_positive,title_rate,tags_negative,tags_neutral,tags_positive,tags_rate
AFC5RaH4xMg,0.0,76.9,23.1,Positive,0.0,100.0,0.0,Neutral
AFZZNlog8sA,0.0,100.0,0.0,Neutral,3.1,96.89999999999999,0.0,Negative
AFbu21AGSho,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
AGPMMAjBt6c,0.0,100.0,0.0,Neutral,0.0,67.4,32.6,Positive
AHIcMK_7-Us,0.0,59.699999999999996,40.300000000000004,Positive,0.0,100.0,0.0,Neutral
AHIrklVaooQ,0.0,100.0,0.0,Neutral,0.0,95.1,4.9,Positive
AIrxDop0GCQ,0.0,100.0,0.0,Neutral,0.0,88.9,11.1,Positive
AJ2xkh-6tL4,29.299999999999997,70.7,0.0,Negative,19.400000000000002,80.60000000000001,0.0,Negative
AJUiQU8-w8E,30.7,69.3,0.0,Negative,13.5,86.5,0.0,Negative
AJYb0Yom5UQ,27.500000000000004,72.5,0.0,Negative,0.0,100.0,0.0,Neutral
AJaHx4CDD-k,0.0,100.0,0.0,Neutral,0.0,75.8,24.2,Positive
AJkOHavUH_A,26.0,74.0,0.0,Negative,0.0,85.2,14.799999999999999,Positive
AKmlFyQaiXo,0.0,100.0,0.0,Neutral,0.0,62.1,37.9,Positive
AKstzozuLKY,34.4,65.60000000000001,0.0,Negative,13.600000000000001,75.2,11.200000000000001,Negative
ALXiloyym0M,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
AM1pavPRU8E,42.5,57.49999999999999,0.0,Negative,20.9,63.3,15.8,Negative
AMiXme4bMUk,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
ANDqRchWuMc,0.0,100.0,0.0,Neutral,0.0,78.0,22.0,Positive
AOvCyD9bbDM,0.0,100.0,0.0,Neutral,0.0,77.5,22.5,Positive
AP14dJZzKkA,0.0,60.199999999999996,39.800000000000004,Positive,39.300000000000004,48.8,11.899999999999999,Negative
APASP1YKH60,0.0,100.0,0.0,Neutral,0.0,88.7,11.3,Positive
AQxBqfy4Faw,0.0,100.0,0.0,Neutral,0.0,90.3,9.700000000000001,Positive
ARA0AxrnHdM,0.0,72.2,27.800000000000004,Positive,0.0,42.6,57.4,Positive
ARuS950sgXM,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
ASNA5kkMQ20,0.0,58.4,41.6,Positive,0.0,67.9,32.1,Positive
ATFwMO9CebA,0.0,100.0,0.0,Neutral,0.0,85.1,14.899999999999999,Positive
AU9I1MX0c2s,0.0,100.0,0.0,Neutral,2.9000000000000004,79.0,18.099999999999998,Positive
AULfqQCVmWY,0.0,68.0,32.0,Positive,10.0,62.8,27.200000000000003,Positive
AV1SWIPxxFM,32.1,67.9,0.0,Negative,16.5,52.400000000000006,31.2,Positive
AV5TOlGFHk0,0.0,64.0,36.0,Positive,0.0,61.8,38.2,Positive
AW9M7Cmzjj8,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
AWgfOND2y68,0.0,51.1,48.9,Positive,0.0,100.0,0.0,Neutral
AWtpYfjylCo,0.0,100.0,0.0,Neutral,6.5,86.9,6.6000000000000005,Neutral
AYte8ks2KAk,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
AZ4sakIfXUE,19.400000000000002,80.60000000000001,0.0,Negative,11.4,53.800000000000004,34.8,Positive
AZQvPibYXRo,0.0,100.0,0.0,Neutral,6.6000000000000005,69.39999999999999,24.0,Positive
AZTn1UMs408,0.0,48.8,51.2,Positive,0.0,100.0,0.0,Neutral
A_fUji0jTAE,0.0,100.0,0.0,Neutral,5.3,84.6,10.2,Positive
A_mlvG_nRsg,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
A_yJqOZcIQ0,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
AaALLWQmCdI,0.0,61.7,38.3,Positive,0.0,83.8,16.2,Positive
AcoALQl7jfA,0.0,100.0,0.0,Neutral,0.0,82.39999999999999,17.599999999999998,Positive
AeB90B9__xM,0.0,70.0,30.0,Positive,3.4000000000000004,48.8,47.8,Positive
AeVrH_3igzk,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
AenmqoozqoA,16.8,63.6,19.7,Positive,21.0,54.300000000000004,24.6,Positive
Agg73-6QOYo,0.0,100.0,0.0,Neutral,9.3,67.60000000000001,23.1,Positive
AgrK2P3Ruug,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
Ah7ldw_WmtE,0.0,52.6,47.4,Positive,3.6999999999999997,59.9,36.4,Positive
AhIh8lLYzLo,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
AiH3nDqWr9I,0.0,60.699999999999996,39.300000000000004,Positive,0.0,94.1,5.8999999999999995,Positive
AixWaRt1ulk,0.0,100.0,0.0,Neutral,0.0,79.80000000000001,20.200000000000003,Positive
AiyZ92_JZxA,0.0,100.0,0.0,Neutral,8.6,78.5,12.9,Positive
Aj5oA0YxCi0,0.0,100.0,0.0,Neutral,7.6,63.3,29.099999999999998,Positive
AjMBDpRXsYA,0.0,100.0,0.0,Neutral,15.5,78.0,6.5,Negative
AkCLxl3MzNA,47.4,52.6,0.0,Negative,41.8,54.2,4.0,Negative
Ali918UJSpU,0.0,64.8,35.199999999999996,Positive,27.0,67.5,5.5,Negative
Alt2HGrsfnw,0.0,73.2,26.8,Positive,4.3999999999999995,67.9,27.700000000000003,Positive
Am6NHDbj6XA,0.0,100.0,0.0,Neutral,8.0,69.0,23.0,Positive
AmZJwThOfzE,0.0,100.0,0.0,Neutral,0.0,41.199999999999996,58.8,Positive
An6cskMsG7c,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
Aopb6YZyeFU,0.0,100.0,0.0,Neutral,8.0,92.0,0.0,Negative
AoswyJLilgo,0.0,100.0,0.0,Neutral,28.599999999999998,69.1,2.3,Negative
AsTdC2RToIA,0.0,100.0,0.0,Neutral,5.8999999999999995,94.1,0.0,Negative
AshvBTw5Z84,0.0,100.0,0.0,Neutral,22.3,49.6,28.000000000000004,Positive
AtCLwYFRp4o,0.0,100.0,0.0,Neutral,0.0,71.6,28.4,Positive
AtbyHpFeVDI,0.0,100.0,0.0,Neutral,9.4,90.60000000000001,0.0,Negative
Atx-0_G1KHQ,0.0,100.0,0.0,Neutral,0.0,78.2,21.8,Positive
AuWwlxym68g,0.0,17.8,82.19999999999999,Positive,0.0,51.9,48.1,Positive
AvFNCNOyZeE,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
AxWxJNHoLC8,0.0,54.50000000000001,45.5,Positive,31.5,60.8,7.6,Negative
Ay420BlEtb8,28.000000000000004,72.0,0.0,Negative,0.0,85.1,14.899999999999999,Positive
